course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
CEE 457,Air Quality Management,1L,47,3.75,0.57,4.0,85.1,10.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,47,SP2025,Ferhat Karaca
CEE 458,Modern Information Technology in Construction,1L,46,3.92,0.16,4.0,97.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,SP2025,Alfrendo Satyanaga
CEE 463,Individual Research Project in Civil & Environmental Engineering 1,1L,15,3.0,0.79,3.33,33.3,40.0,20.0,6.7,0.0,0.0,0.0,0.0,0.0,15,SP2025,Jong Kim
CEE 463,Individual Research Project in Civil & Environmental Engineering 1,1L,15,3.0,0.79,3.33,33.3,40.0,20.0,6.7,0.0,0.0,0.0,0.0,0.0,15,SP2025,Bakhyt Aubakirova
CEE 466,Introduction to Finite Element Methods,1L,34,2.68,0.81,2.84,14.7,41.2,38.2,5.9,0.0,0.0,0.0,0.0,0.0,34,SP2025,Elnara Kussinova
CEE 469,Pavement Materials,1L,24,2.89,0.52,3.0,12.5,66.7,20.8,0.0,0.0,0.0,0.0,0.0,0.0,24,SP2025,Chang Shon
ELCE 305,Data Structures and Algorithms,1L,28,2.71,0.89,2.84,15.2,36.4,27.3,3.0,3.0,0.0,0.0,3.0,12.1,33,SP2025,Ainur Rakhymbay
ELCE 305,Data Structures and Algorithms,1L,28,2.71,0.89,2.84,15.2,36.4,27.3,3.0,3.0,0.0,0.0,3.0,12.1,33,SP2025,Aresh Dadlani
ELCE 311,Interdisciplinary Design Project,1L,42,3.43,1.05,3.67,68.9,15.6,2.2,0.0,6.7,0.0,0.0,0.0,6.7,45,SP2025,Sultangali Arzykulov
ELCE 350,Electromagnetics I,1L,9,3.3,0.79,3.67,50.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10,SP2025,Carlo Molardi
ELCE 352,Applied Simulation Laboratory,1Lb,17,3.26,1.28,3.67,76.5,5.9,0.0,11.8,5.9,0.0,0.0,0.0,0.0,17,SP2025,Ainur Rakhymbay
ELCE 403,Introduction to Adaptive Signal Processing,1L,8,3.04,0.93,3.16,37.5,50.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,8,SP2025,Muhammad Akhtar
ELCE 455,Machine Learning with Python,1L,41,3.03,0.73,3.33,23.3,51.2,16.3,4.7,0.0,0.0,0.0,0.0,4.7,43,SP2025,Amin Zollanvari
ELCE 458,Numerical Optimization Techniques and Computer Applications,1L,14,2.93,0.81,3.0,29.4,23.5,23.5,5.9,0.0,0.0,0.0,0.0,17.6,17,SP2025,Ainur Rakhymbay
ELCE 458,Numerical Optimization Techniques and Computer Applications,1L,14,2.93,0.81,3.0,29.4,23.5,23.5,5.9,0.0,0.0,0.0,0.0,17.6,17,SP2025,Aresh Dadlani
ELCE 459,Design of Application Specific Electronic Circuits,1L,7,3.1,1.4,3.67,71.4,14.3,0.0,0.0,14.3,0.0,0.0,0.0,0.0,7,SP2025,Mohammad Hashmi
ELCE 468,Robots For Rehabilitation,1L,13,3.46,0.48,3.67,46.7,33.3,6.7,0.0,0.0,0.0,0.0,0.0,13.3,15,SP2025,Prashant Jamwal
ELCE 469,Microfluidics Fundamentals and Applications,1L,6,3.28,0.33,3.33,14.3,71.4,0.0,0.0,0.0,0.0,0.0,0.0,14.3,7,SP2025,Gulsim Kulsharova
ELCE 486,Photonics for Engineering,1L,17,3.94,0.13,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SP2025,Daniele Tosi
ENG 101,Programming for Engineers,1L,53,3.13,0.7,3.33,32.2,40.7,13.6,3.4,0.0,0.0,0.0,0.0,10.2,59,SP2025,Ainash Shabdirova
ENG 102,Engineering Materials I,1L,80,3.0,0.63,3.0,23.5,60.5,12.3,1.2,1.2,0.0,0.0,0.0,1.2,81,SP2025,Asma Perveen
ENG 102,Engineering Materials I,2L,68,2.82,0.61,3.0,11.8,57.4,29.4,0.0,1.5,0.0,0.0,0.0,0.0,68,SP2025,Chang Shon
